season,game_id,play_id,field_pos,yards_to_go,score_diff,time_remaining,actual_decision,ex_ante_optimal,ex_post_optimal,ex_ante_match,ex_post_match,models_agree,ex_ante_confidence,ex_ante_margin,ex_post_margin,ex_ante_wp_go,ex_ante_wp_punt,ex_ante_wp_fg,train_start,train_end,posteam,defteam,week,season_type,home_team,away_team,game_date,qtr,desc,decision_clarity,confidence_category,coach_wrong,mistake_type,wp_cost
2013,2013_10_HOU_ARI,4432.0,53,1,3,131,punt,go_for_it,go_for_it,False,False,True,1.0,0.15543829207329607,0.16177363022320845,0.8458073681194204,0.6903690760461243,0.0,1999,2012,,,,,,,,,,clear,obvious,True,egregious,0.15543829207329607
2016,2016_03_SD_IND,3751.0,53,3,2,156,punt,go_for_it,go_for_it,False,False,True,1.0,0.15532553097610002,0.15673257707947286,0.7780415297051636,0.6227159987290636,0.0,1999,2015,,,,,,,,,,clear,obvious,True,egregious,0.15532553097610002
2006,2006_06_MIA_NYJ,3934.0,60,2,3,151,punt,go_for_it,go_for_it,False,False,True,1.0,0.15423512762232205,0.1610628306871803,0.8110730944683046,0.6568379668459825,0.0,1999,2005,,,,,,,,,,clear,obvious,True,egregious,0.15423512762232205
2016,2016_05_SD_OAK,3831.0,18,1,-3,127,go_for_it,field_goal,field_goal,False,False,True,1.0,0.15400226742738932,0.1632705060691994,0.11570311273981976,0.28250191781637995,0.43650418524376927,1999,2015,,,,,,,,,,clear,obvious,True,egregious,0.15400226742738932
2020,2020_01_DAL_LA,4144.0,51,1,3,155,punt,go_for_it,go_for_it,False,False,True,1.0,0.15327130487683738,0.15776593341300182,0.8432975255640499,0.6900262206872125,0.0,1999,2019,LA,DAL,1.0,REG,LA,DAL,2020-09-13,4.0,"(2:35) 6-J.Hekker punts 42 yards to DAL 9, Center-44-J.McQuaide, fair catch by 11-C.Wilson.",clear,obvious,True,egregious,0.15327130487683738
2011,2011_01_CIN_CLE,4059.0,54,8,-3,132,go_for_it,punt,punt,False,False,True,1.0,0.15269699834238598,0.14676849856441618,0.13982268898417055,0.29251968732655653,0.0,1999,2010,,,,,,,,,,clear,obvious,True,egregious,0.15269699834238598
2014,2014_08_MIN_TB,3679.0,8,1,-4,155,go_for_it,field_goal,field_goal,False,False,True,1.0,0.15226607370007558,0.15822296081157286,0.11193566555388476,0.2394044943346247,0.3916705680347003,1999,2013,,,,,,,,,,clear,obvious,True,egregious,0.15226607370007558
2019,2019_16_HOU_TB,4105.0,51,1,3,147,punt,go_for_it,go_for_it,False,False,True,1.0,0.1518378059667096,0.1518376915073072,0.8540601285434619,0.7022223225767523,0.0,1999,2018,HOU,TB,16.0,REG,TB,HOU,2019-12-21,4.0,"(2:27) 9-B.Anger punts 41 yards to TB 10, Center-46-J.Weeks, out of bounds.",clear,obvious,True,egregious,0.1518378059667096
2013,2013_13_ARI_PHI,4176.0,53,2,3,138,punt,go_for_it,go_for_it,False,False,True,1.0,0.15102548888051115,0.15478145476313376,0.8224175085375867,0.6713920196570755,0.0,1999,2012,,,,,,,,,,clear,obvious,True,egregious,0.15102548888051115
2023,2023_06_NE_LV,3835.0,55,3,2,151,punt,go_for_it,go_for_it,False,False,True,1.0,0.15088798888739885,0.15435583817399467,0.7949389052652852,0.6440509163778864,0.0,1999,2022,LV,NE,6.0,REG,LV,NE,2023-10-15,4.0,"(2:31) 6-A.Cole punts 46 yards to NE 9, Center-50-J.Bobenmoyer, fair catch by 27-M.Bryant.",clear,obvious,True,egregious,0.15088798888739885
2020,2020_17_SEA_SF,3642.0,4,4,-4,146,go_for_it,field_goal,field_goal,False,False,True,1.0,0.15024215542124944,0.15214351630518547,0.12563785942587596,0.21252165254245772,0.36276380796370716,1999,2019,SEA,SF,17.0,REG,SF,SEA,2021-01-03,4.0,"(2:26) (Shotgun) 3-R.Wilson pass short left to 16-T.Lockett for 4 yards, TOUCHDOWN [54-F.Warner].",clear,obvious,True,egregious,0.15024215542124944
2015,2015_08_IND_CAR,3838.0,73,3,3,131,punt,go_for_it,go_for_it,False,False,True,1.0,0.14832324531465602,0.14669352406058078,0.7923027862822173,0.6439795409675613,0.0,1999,2014,,,,,,,,,,clear,obvious,True,egregious,0.14832324531465602
2014,2014_10_KC_BUF,4192.0,15,10,-4,151,go_for_it,field_goal,field_goal,False,False,True,1.0,0.14756084492313282,0.15511763533428868,0.19412056740771738,0.2505769473731287,0.3981377922962615,1999,2013,,,,,,,,,,clear,obvious,True,egregious,0.14756084492313282
2022,2022_06_CIN_NO,3760.0,69,4,2,136,punt,go_for_it,go_for_it,False,False,True,1.0,0.14745859802078076,0.15503589326533362,0.7532737506024616,0.6058151525816808,0.0,1999,2021,NO,CIN,6.0,REG,NO,CIN,2022-10-16,4.0,"(2:16) 4-B.Gillikin punts 29 yards to CIN 40, Center-49-Z.Wood, out of bounds.",clear,obvious,True,egregious,0.14745859802078076
2008,2008_14_NE_SEA,3734.0,1,1,-5,170,go_for_it,field_goal,field_goal,False,False,True,1.0,0.14745660541555566,0.1490403017372566,0.21214845976395225,0.22270895287524406,0.3701655582907997,1999,2007,,,,,,,,,,clear,obvious,True,egregious,0.14745660541555566
2017,2017_01_LAC_DEN,3525.0,78,3,3,129,punt,go_for_it,go_for_it,False,False,True,1.0,0.14718481080653723,0.15078141490727237,0.7933622227206826,0.6461774119141453,0.0,1999,2016,,,,,,,,,,clear,obvious,True,egregious,0.14718481080653723
